Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns),Operational
0,212.38017982015185,249.56408348575926,5.0351607199510005,-0.344260887,0.0088,0.0094,0.0082,817.7777777777777,0.00013961,0.00013961,0.00013961,0_1:0.012406468206191068,0_1:327.1111111111111,TRUE
1,146.48510657543133,145.6467545924943,5.155113997298905,-0.342075529,0.0109,0.0112,0.010600000000000054,817.7777777777777,0.000451127,0.000451127,0.000451127,1_0:0.012406468206191068;1_4:0.005772170269472687;1_2:0.003602016746823228,1_0:359.1111111111111;1_4:181.33333333333331;1_2:270.22222222222223,TRUE
2,173.62610988202184,221.52447777657545,5.256345412709347,-0.339674634,0.0177,0.024399999999999977,0.011,817.7777777777777,0.000363048,0.000363048,0.000363048,2_3:0.009864160965180113;2_1:0.003602016746823228,2_3:352;2_1:206.2222222222222,TRUE
3,140.6298822745245,28.345429228740173,5.097427743,-0.342697452,0.009,0.011,0.007,817.7777777777777,0.000886448,0.000886448,0.000886448,3_5:0.005294490665714885;3_2:0.009864160965180113,3_5:252.44444444444443;3_2:416,TRUE
4,163.58723868765767,14.850282803041718,5.0728256744522024,-0.342859333,0.0086,0.0108,0.0064,817.7777777777777,0.000168043,0.000168043,0.000168043,4_7:0.012968931568324682;4_1:0.005772170269472687,4_7:263.1111111111111;4_1:245.33333333333331,TRUE
5,150.96956276143604,244.96612438303208,5.2069629732669584,-0.341035751,0.0068,0.0084,0.0052,817.7777777777777,0.000220832,0.000220832,0.000220832,5_3:0.005294490665714885;5_8:1,5_3:188.44444444444443;5_8:593.7777777777777,TRUE
6,210.15981088851683,268.06619725453436,5.020510399824946,-0.344459714,0.014899999999999913,0.0172,0.012599999999999945,817.7777777777777,0.00022302,0.00022302,0.00022302,6_7:0.006434247106929691,6_7:284.44444444444446,TRUE
7,168.365539,255.36880630288678,4.9190706052453566,-0.346811879,0.010599999999999943,0.013800000000000034,0.0074,817.7777777777777,0.000263353,0.000263353,0.000263353,7_6:0.006434247106929691;7_4:0.012968931568324682;7_10:0.007454357201728434,7_6:316.4444444444444;7_4:327.1111111111111;7_10:202.66666666666666,TRUE
8,201.76768224774412,173.72904612001642,5.031265613855529,-0.344655742,0.0099,0.014399999999999968,0.0054,817.7777777777777,0.000205229,0.000205229,0.000205229,8_9:0.005910143069937923;8_11:0.0037654709300624367;8_5:1,8_9:572.4444444444445;8_11:344.88888888888886;8_5:561.7777777777777,TRUE
9,196.56879861146817,334.89526265687806,4.874808217569474,-0.345125805,0.005,0.0088,0.0012,817.7777777777777,0.000166993,0.000166993,0.000166993,9_8:0.005910143069937923,9_8:540.4444444444445,TRUE
